Posición, punto
1,"(-1, -1)"
2,"(0, 1)"
3,"(0, 30676)"
4,"(2, 6014)"
5,"(2, 24663)"
6,"(3, 7870)"
7,"(3, 22807)"
8,"(4, 9)"
9,"(4, 30668)"
10,"(6, 7030)"
11,"(6, 23647)"
12,"(7, 13638)"
13,"(7, 17039)"
14,"(8, 14255)"
15,"(8, 16422)"
16,"(10, 13264)"
17,"(10, 17413)"
18,"(11, 11500)"
19,"(11, 19177)"
20,"(13, 2857)"
21,"(13, 27820)"
22,"(14, 6598)"
23,"(14, 24079)"
24,"(15, 10955)"
25,"(15, 19722)"
26,"(18, 8742)"
27,"(18, 21935)"
28,"(19, 3654)"
29,"(19, 27023)"
30,"(21, 6213)"
31,"(21, 24464)"
32,"(24, 11060)"
33,"(24, 19617)"
34,"(25, 1385)"
35,"(25, 29292)"
36,"(27, 10308)"
37,"(27, 20369)"
38,"(29, 10668)"
39,"(29, 20009)"
40,"(30, 1526)"
41,"(30, 29151)"
42,"(31, 11651)"
43,"(31, 19026)"
44,"(32, 11324)"
45,"(32, 19353)"
46,"(36, 14153)"
47,"(36, 16524)"
48,"(37, 12429)"
49,"(37, 18248)"
50,"(38, 6740)"
51,"(38, 23937)"
52,"(40, 9455)"
53,"(40, 21222)"
54,"(42, 4589)"
55,"(42, 26088)"
56,"(43, 8690)"
57,"(43, 21987)"
58,"(47, 8448)"
59,"(47, 22229)"
60,"(48, 777)"
61,"(48, 29900)"
62,"(51, 7152)"
63,"(51, 23525)"
64,"(52, 11442)"
65,"(52, 19235)"
66,"(53, 2310)"
67,"(53, 28367)"
68,"(56, 3563)"
69,"(56, 27114)"
70,"(58, 11096)"
71,"(58, 19581)"
72,"(61, 12306)"
73,"(61, 18371)"
74,"(62, 1679)"
75,"(62, 28998)"
76,"(64, 3820)"
77,"(64, 26857)"
78,"(65, 13683)"
79,"(65, 16994)"
80,"(67, 524)"
81,"(67, 30153)"
82,"(69, 5648)"
83,"(69, 25029)"
